actor_id;first_name;last_name;last_update
1;PENELOPE;GUINESS;2017-02-15 09:34:33+00
2;NICK;WAHLBERG;2017-02-15 09:34:33+00
3;ED;CHASE;2017-02-15 09:34:33+00
4;JENNIFER;DAVIS;2017-02-15 09:34:33+00
5;JOHNNY;LOLLOBRIGIDA;2017-02-15 09:34:33+00
6;BETTE;NICHOLSON;2017-02-15 09:34:33+00
7;GRACE;MOSTEL;2017-02-15 09:34:33+00
8;MATTHEW;JOHANSSON;2017-02-15 09:34:33+00
9;JOE;SWANK;2017-02-15 09:34:33+00
10;CHRISTIAN;GABLE;2017-02-15 09:34:33+00
11;ZERO;CAGE;2017-02-15 09:34:33+00
12;KARL;BERRY;2017-02-15 09:34:33+00
13;UMA;WOOD;2017-02-15 09:34:33+00
14;VIVIEN;BERGEN;2017-02-15 09:34:33+00
15;CUBA;OLIVIER;2017-02-15 09:34:33+00
16;FRED;COSTNER;2017-02-15 09:34:33+00
17;HELEN;VOIGHT;2017-02-15 09:34:33+00
18;DAN;TORN;2017-02-15 09:34:33+00
19;BOB;FAWCETT;2017-02-15 09:34:33+00
20;LUCILLE;TRACY;2017-02-15 09:34:33+00
21;KIRSTEN;PALTROW;2017-02-15 09:34:33+00
22;ELVIS;MARX;2017-02-15 09:34:33+00
23;SANDRA;KILMER;2017-02-15 09:34:33+00
24;CAMERON;STREEP;2017-02-15 09:34:33+00
25;KEVIN;BLOOM;2017-02-15 09:34:33+00
26;RIP;CRAWFORD;2017-02-15 09:34:33+00
27;JULIA;MCQUEEN;2017-02-15 09:34:33+00
28;WOODY;HOFFMAN;2017-02-15 09:34:33+00
29;ALEC;WAYNE;2017-02-15 09:34:33+00
30;SANDRA;PECK;2017-02-15 09:34:33+00
31;SISSY;SOBIESKI;2017-02-15 09:34:33+00
32;TIM;HACKMAN;2017-02-15 09:34:33+00
33;MILLA;PECK;2017-02-15 09:34:33+00
34;AUDREY;OLIVIER;2017-02-15 09:34:33+00
35;JUDY;DEAN;2017-02-15 09:34:33+00
36;BURT;DUKAKIS;2017-02-15 09:34:33+00
37;VAL;BOLGER;2017-02-15 09:34:33+00
38;TOM;MCKELLEN;2017-02-15 09:34:33+00
39;GOLDIE;BRODY;2017-02-15 09:34:33+00
40;JOHNNY;CAGE;2017-02-15 09:34:33+00
41;JODIE;DEGENERES;2017-02-15 09:34:33+00
42;TOM;MIRANDA;2017-02-15 09:34:33+00
43;KIRK;JOVOVICH;2017-02-15 09:34:33+00
44;NICK;STALLONE;2017-02-15 09:34:33+00
45;REESE;KILMER;2017-02-15 09:34:33+00
46;PARKER;GOLDBERG;2017-02-15 09:34:33+00
47;JULIA;BARRYMORE;2017-02-15 09:34:33+00
48;FRANCES;DAY-LEWIS;2017-02-15 09:34:33+00
49;ANNE;CRONYN;2017-02-15 09:34:33+00
50;NATALIE;HOPKINS;2017-02-15 09:34:33+00
51;GARY;PHOENIX;2017-02-15 09:34:33+00
52;CARMEN;HUNT;2017-02-15 09:34:33+00
53;MENA;TEMPLE;2017-02-15 09:34:33+00
54;PENELOPE;PINKETT;2017-02-15 09:34:33+00
55;FAY;KILMER;2017-02-15 09:34:33+00
56;DAN;HARRIS;2017-02-15 09:34:33+00
57;JUDE;CRUISE;2017-02-15 09:34:33+00
58;CHRISTIAN;AKROYD;2017-02-15 09:34:33+00
59;DUSTIN;TAUTOU;2017-02-15 09:34:33+00
60;HENRY;BERRY;2017-02-15 09:34:33+00
61;CHRISTIAN;NEESON;2017-02-15 09:34:33+00
62;JAYNE;NEESON;2017-02-15 09:34:33+00
63;CAMERON;WRAY;2017-02-15 09:34:33+00
64;RAY;JOHANSSON;2017-02-15 09:34:33+00
65;ANGELA;HUDSON;2017-02-15 09:34:33+00
66;MARY;TANDY;2017-02-15 09:34:33+00
67;JESSICA;BAILEY;2017-02-15 09:34:33+00
68;RIP;WINSLET;2017-02-15 09:34:33+00
69;KENNETH;PALTROW;2017-02-15 09:34:33+00
70;MICHELLE;MCCONAUGHEY;2017-02-15 09:34:33+00
71;ADAM;GRANT;2017-02-15 09:34:33+00
72;SEAN;WILLIAMS;2017-02-15 09:34:33+00
73;GARY;PENN;2017-02-15 09:34:33+00
74;MILLA;KEITEL;2017-02-15 09:34:33+00
75;BURT;POSEY;2017-02-15 09:34:33+00
76;ANGELINA;ASTAIRE;2017-02-15 09:34:33+00
77;CARY;MCCONAUGHEY;2017-02-15 09:34:33+00
78;GROUCHO;SINATRA;2017-02-15 09:34:33+00
79;MAE;HOFFMAN;2017-02-15 09:34:33+00
80;RALPH;CRUZ;2017-02-15 09:34:33+00
81;SCARLETT;DAMON;2017-02-15 09:34:33+00
82;WOODY;JOLIE;2017-02-15 09:34:33+00
83;BEN;WILLIS;2017-02-15 09:34:33+00
84;JAMES;PITT;2017-02-15 09:34:33+00
85;MINNIE;ZELLWEGER;2017-02-15 09:34:33+00
86;GREG;CHAPLIN;2017-02-15 09:34:33+00
87;SPENCER;PECK;2017-02-15 09:34:33+00
88;KENNETH;PESCI;2017-02-15 09:34:33+00
89;CHARLIZE;DENCH;2017-02-15 09:34:33+00
90;SEAN;GUINESS;2017-02-15 09:34:33+00
91;CHRISTOPHER;BERRY;2017-02-15 09:34:33+00
92;KIRSTEN;AKROYD;2017-02-15 09:34:33+00
93;ELLEN;PRESLEY;2017-02-15 09:34:33+00
94;KENNETH;TORN;2017-02-15 09:34:33+00
95;DARYL;WAHLBERG;2017-02-15 09:34:33+00
96;GENE;WILLIS;2017-02-15 09:34:33+00
97;MEG;HAWKE;2017-02-15 09:34:33+00
98;CHRIS;BRIDGES;2017-02-15 09:34:33+00
99;JIM;MOSTEL;2017-02-15 09:34:33+00
100;SPENCER;DEPP;2017-02-15 09:34:33+00
101;SUSAN;DAVIS;2017-02-15 09:34:33+00
102;WALTER;TORN;2017-02-15 09:34:33+00
103;MATTHEW;LEIGH;2017-02-15 09:34:33+00
104;PENELOPE;CRONYN;2017-02-15 09:34:33+00
105;SIDNEY;CROWE;2017-02-15 09:34:33+00
106;GROUCHO;DUNST;2017-02-15 09:34:33+00
107;GINA;DEGENERES;2017-02-15 09:34:33+00
108;WARREN;NOLTE;2017-02-15 09:34:33+00
109;SYLVESTER;DERN;2017-02-15 09:34:33+00
110;SUSAN;DAVIS;2017-02-15 09:34:33+00
111;CAMERON;ZELLWEGER;2017-02-15 09:34:33+00
112;RUSSELL;BACALL;2017-02-15 09:34:33+00
113;MORGAN;HOPKINS;2017-02-15 09:34:33+00
114;MORGAN;MCDORMAND;2017-02-15 09:34:33+00
115;HARRISON;BALE;2017-02-15 09:34:33+00
116;DAN;STREEP;2017-02-15 09:34:33+00
117;RENEE;TRACY;2017-02-15 09:34:33+00
118;CUBA;ALLEN;2017-02-15 09:34:33+00
119;WARREN;JACKMAN;2017-02-15 09:34:33+00
120;PENELOPE;MONROE;2017-02-15 09:34:33+00
121;LIZA;BERGMAN;2017-02-15 09:34:33+00
122;SALMA;NOLTE;2017-02-15 09:34:33+00
123;JULIANNE;DENCH;2017-02-15 09:34:33+00
124;SCARLETT;BENING;2017-02-15 09:34:33+00
125;ALBERT;NOLTE;2017-02-15 09:34:33+00
126;FRANCES;TOMEI;2017-02-15 09:34:33+00
127;KEVIN;GARLAND;2017-02-15 09:34:33+00
128;CATE;MCQUEEN;2017-02-15 09:34:33+00
129;DARYL;CRAWFORD;2017-02-15 09:34:33+00
130;GRETA;KEITEL;2017-02-15 09:34:33+00
131;JANE;JACKMAN;2017-02-15 09:34:33+00
132;ADAM;HOPPER;2017-02-15 09:34:33+00
133;RICHARD;PENN;2017-02-15 09:34:33+00
134;GENE;HOPKINS;2017-02-15 09:34:33+00
135;RITA;REYNOLDS;2017-02-15 09:34:33+00
136;ED;MANSFIELD;2017-02-15 09:34:33+00
137;MORGAN;WILLIAMS;2017-02-15 09:34:33+00
138;LUCILLE;DEE;2017-02-15 09:34:33+00
139;EWAN;GOODING;2017-02-15 09:34:33+00
140;WHOOPI;HURT;2017-02-15 09:34:33+00
141;CATE;HARRIS;2017-02-15 09:34:33+00
142;JADA;RYDER;2017-02-15 09:34:33+00
143;RIVER;DEAN;2017-02-15 09:34:33+00
144;ANGELA;WITHERSPOON;2017-02-15 09:34:33+00
145;KIM;ALLEN;2017-02-15 09:34:33+00
146;ALBERT;JOHANSSON;2017-02-15 09:34:33+00
147;FAY;WINSLET;2017-02-15 09:34:33+00
148;EMILY;DEE;2017-02-15 09:34:33+00
149;RUSSELL;TEMPLE;2017-02-15 09:34:33+00
150;JAYNE;NOLTE;2017-02-15 09:34:33+00
151;GEOFFREY;HESTON;2017-02-15 09:34:33+00
152;BEN;HARRIS;2017-02-15 09:34:33+00
153;MINNIE;KILMER;2017-02-15 09:34:33+00
154;MERYL;GIBSON;2017-02-15 09:34:33+00
155;IAN;TANDY;2017-02-15 09:34:33+00
156;FAY;WOOD;2017-02-15 09:34:33+00
157;GRETA;MALDEN;2017-02-15 09:34:33+00
158;VIVIEN;BASINGER;2017-02-15 09:34:33+00
159;LAURA;BRODY;2017-02-15 09:34:33+00
160;CHRIS;DEPP;2017-02-15 09:34:33+00
161;HARVEY;HOPE;2017-02-15 09:34:33+00
162;OPRAH;KILMER;2017-02-15 09:34:33+00
